rehearsal_weight,disease_covariance_weight,n_checkpoints,best_run_id,best_epoch,best_composite_score,best_at8_ridge,best_neun_ridge,best_at8_cosine_knn,best_neun_cosine_knn,best_effective_dims,best_top_sv_ratio,best_sea_anchor_cosine,best_cellxgene_anchor_cosine,anchor_safe
0.005,0.0005,1,fine_loose_01_r005_cov0005,5,1.543587061459868,0.3560190341196719,0.3741621949984813,0.2271944922547332,0.2578515743646856,4.760432720184326,0.4812534153461456,0.9560101502656936,0.9516794806241988,True
0.02,0.001,1,fine_loose_05_r020_cov001,5,1.514559617208013,0.2777969018932874,0.4266275184772704,0.2088893388680773,0.3750329047281563,4.796158790588379,0.4686768651008606,0.9739932942152024,0.9704690188884736,True
0.01,0.002,1,fine_loose_04_r010_cov002,5,1.4477819545842667,0.2401133947554925,0.459329755998785,0.1203401842664776,0.3406904930646957,4.673104286193848,0.4560661613941192,0.9627182599782944,0.9614216479539872,True
0.01,0.0005,1,fine_loose_03_r010_cov0005,5,1.3942170611567326,0.2413080895008605,0.3651716108129999,0.2604029563632682,0.2438189733724815,4.768391609191895,0.4828507602214813,0.9685048735141756,0.9640161644458772,True
0.1,0.001,2,sweep_05_tight_anchor,5,1.388851398480944,0.3389288245418649,0.4379872430900071,0.0169687151969221,0.2603827072997874,4.414602279663086,0.4787116348743438,0.986983997130394,0.9847297824382782,True
0.01,0.001,2,sweep_04_loose_anchor,5,1.3696142393893118,0.2847423306672066,0.3665080490027336,0.1478789106003847,0.2810367520502176,4.6360392570495605,0.4690768718719482,0.966551886987686,0.9638949962854384,True
0.075,0.001,1,fine_02_r007_cov001,5,1.3345815100746623,0.3496810772501771,0.4166244811177483,0.1618102662751847,0.216867469879518,4.455319404602051,0.4778692722320556,0.9850178678512572,0.9826663260698318,True
0.075,0.0005,1,fine_01_r007_cov0005,5,1.331848690029012,0.3072997873848334,0.3238837703756201,0.1868786068644325,0.156768249468462,4.323592662811279,0.4892260730266571,0.9867001944541932,0.9842011633634568,True
0.005,0.001,1,fine_loose_02_r005_cov001,5,1.329450732559777,0.2280247038574465,0.340447504302926,0.2591272653639769,0.2638857952819682,4.6596293449401855,0.4603889882564544,0.9553763398647308,0.9533289704322816,True
0.15,0.001,1,fine_06_r015_cov001,5,1.3205370476818086,0.3027234990381695,0.3654955958286929,0.2200870709729675,0.1484256353143667,4.411065578460693,0.4797337353229522,0.9894837998867037,0.9871814160346984,True
0.125,0.001,1,fine_05_r012_cov001,5,1.3128517983747756,0.3290472815632277,0.4163207451655361,0.1191657385845904,0.1609395565455097,4.412720680236816,0.4791955053806305,0.988398219537735,0.9860996185064316,True
0.1,0.002,1,fine_04_r010_cov002,5,1.2915521362550322,0.2623266173939455,0.3116330869697276,0.1873038371975296,0.2754682595929938,4.740433216094971,0.4640812873840332,0.9864177924633026,0.984269610619545,True
0.05,0.001,2,sweep_02_goldilocks,5,1.2805313520079935,0.3356687253214538,0.3516654854712969,0.2189531234180419,0.1863116330869697,4.495710372924805,0.4779599010944366,0.982280020570755,0.9798634761333466,True
0.1,0.0005,1,fine_03_r010_cov0005,5,1.268612651930498,0.287536701427559,0.3046066619418852,0.2162599979750936,0.1359927103371469,4.291752815246582,0.4906909167766571,0.9883327545642852,0.9858779450416564,True
0.05,0.005,2,sweep_03_mod_cov,10,1.1288694856825103,0.1840234889136377,0.3172825756808747,0.0437177280550774,0.2914650197428369,4.562005519866943,0.4440516233444214,0.9758872297763824,0.9688986662387848,True
0.05,0.0,2,sweep_01_base_elastic,5,0.9963222287583956,0.2006682190948668,0.3913536498936924,0.0849245722385339,0.3820390806925179,3.301365852355957,0.7112654447555542,0.9880806166410446,0.9821846199035644,True
