block_key,source,operator_index,matrix_id,rows,nnz,counts_path,counts_sha256,meta_path,meta_sha256
op00/block-00000,HVS,0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,512,2623904,blocks/op00/block-00000.counts.npz,f16d51b08601eb88dae85edd21104e36fb8908dcc37459eb45e6418318f69134,blocks/op00/block-00000.meta.csv,f73f1a8014ef266f6bb57dc7761d2a8e748bacb0f740e74c653fb728c7c64fdf
op00/block-00001,HVS,0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,512,2502641,blocks/op00/block-00001.counts.npz,dc9bbb1a351f8263d38433f631a2e0de4b61caf501cbe2c8c3e5f9833fe85e47,blocks/op00/block-00001.meta.csv,e9461c2687665120e14efb21f6fa84382e377ee43bef36ae18e9d72fdf7f4ee9
op00/block-00002,HVS,0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,512,2246251,blocks/op00/block-00002.counts.npz,835ef008aa22ebe547813b37e2cd458ec3d421b489d23932f03d7152ee0cf83e,blocks/op00/block-00002.meta.csv,b536e1a74d7c35e592a7ea92cb9bfd9989a39d96442d5e66fcd5946c48bcd55a
op00/block-00003,HVS,0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,512,2352816,blocks/op00/block-00003.counts.npz,ae1ad5b835c2216b69264647e45c15778cd9948c82fbf359e017834b7cdfc4cc,blocks/op00/block-00003.meta.csv,abc08c93f4f8f4fe642370a5bb115f00580ed17330cbcd772bd113c956e65fa5
op00/block-00004,HVS,0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,393,1861045,blocks/op00/block-00004.counts.npz,11a83bbc937249c444836ff38f4e0fa576a085833d00f205fcb91218c39f18bc,blocks/op00/block-00004.meta.csv,9fd5767c6a39edfacf36c9bc3d093300f7a8f70ca5162cea9c2838e871a1f153
op01/block-00000,HVS,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,512,3319107,blocks/op01/block-00000.counts.npz,c97771635aa638357dfd6d6abf95ab8161b4322d5ea7a0ed55641ce89c568321,blocks/op01/block-00000.meta.csv,cea20205433b68f625485b066b4e64c38ac0fe2d2e44d55748ac35905680afed
op01/block-00001,HVS,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,512,3104444,blocks/op01/block-00001.counts.npz,d47dd4e16762a4f99947c62f88023f32bd9a91579de3896d95273d53d6e94682,blocks/op01/block-00001.meta.csv,001a0183a5f5ac6d8a707341a4b2c5538a1d39baa8bc7d15a38e0dcf4228b819
op01/block-00002,HVS,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,512,2971503,blocks/op01/block-00002.counts.npz,ea0f31951877534ae5593d729eb24cd681582490584864d61925dfa7e29e6ac2,blocks/op01/block-00002.meta.csv,288c84e91240c6e238c0e83182f2b0a7136b4adffec6d1b775024910784922e1
op01/block-00003,HVS,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,512,2804460,blocks/op01/block-00003.counts.npz,ca9c9e51ee67a22b7a3e3963b0f4e43c5b434317d6d684ad0ff70120cf912b55,blocks/op01/block-00003.meta.csv,1d92710863302d0856eab5fec3d0b8d15d0ddd55d1a4ff54f56fe7611eb3000e
op01/block-00004,HVS,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,512,3230132,blocks/op01/block-00004.counts.npz,90115c12ccc2adef68f1b28ac047c89e5552edc1e98ee214925b1a63c36846e4,blocks/op01/block-00004.meta.csv,42589000375fab8509b701bbff8d9326605639b3bbf8cd0c3fa26b96042b8f43
