decision_id,decision,status,evidence_summary,governance
DEC-001,Hidden-gene anchor is rejected,CLOSED,Matched causal u500 arms: JEPA_ONLY > CURRENT >> ANCHOR_ONLY.,Do not reintroduce absent genuinely new causal evidence.
DEC-002,Address/query exposure is not the V6 bottleneck,CLOSED,V6R4 exposure-dose diagnostic showed near-zero exposure slope.,Do not repeat address-exposure debugging.
DEC-003,Arbitrary FP32 batching gates are invalid,CLOSED,Tiny numerical differences did not alter biological behavior.,Batching is engineering; singleton only sensitivity.
DEC-004,Core-only evidence is insufficient for difficult/rare biology,CLOSED,Historical core+halo experiments showed distributed halo improves rare-state inference.,Preserve complementary halo evidence.
DEC-005,Address coverage and biology-aware exposure are orthogonal,CLOSED,Historical halo/curriculum evidence plus later cascade failures.,Do not sacrifice broad context coverage to emphasize a tier.
DEC-006,Tier-hiding is not the production cascade,CLOSED,16-D apparent gain failed with stronger 64-D teacher; matched balanced tier-hiding hurt biology.,"Cascade targets/queries, not evidence starvation."
DEC-007,Random/frozen u0 is not a qualified biological teacher,CLOSED,u0 was a mechanics fixture; trained richer-evidence teachers show stronger biology.,Do not use frozen-u0 biology failure as final teacher verdict.
DEC-008,Train and qualify richer-evidence teacher before student distillation,PROVISIONAL,Local real-data teacher experiments support teacher-first architecture.,Promote after full FOUNDATION TRAIN qualification.
DEC-009,Two teacher views are not an unquestioned default,PROVISIONAL,Local 2/4/8-view runs show 4-view gains at 64-D and 8-view gains at 128-D.,Re-test on full FOUNDATION TRAIN with matched budget.
DEC-010,Teacher-target fidelity and biological readout are separate endpoints,CLOSED,Student downstream R2 can exceed teacher downstream R2.,Never interpret R2 ratio as fraction of teacher biology.
DEC-011,Loss/target MSE cannot adjudicate biology,CLOSED,Anchor and cascade runs both showed better loss can coexist with worse biology.,Biological qualification metrics are mandatory.
DEC-012,V6R5B residual predictor-capacity next-action prescription,SUPERSEDED,V6R5B diagnosed a frozen random-u0 target; subsequent re-adjudication established u0 as a mechanics fixture rather than a biological teacher and trained-teacher real-data experiments supplied new causal evidence for teacher-first learning.,Preserve CONTEXTUAL_BIOLOGY_NOT_DEMONSTRATED and RESIDUAL_TARGET_DOES_NOT_RESCUE as closed frozen-u0 evidence; do not run the residual address-selective predictor-capacity diagnostic absent genuinely new reauthorization; current action is the PROD41K trained teacher.
DEC-013,Bounded PROD41K T1 teacher qualification,INCOMPLETE,T1 completed 205 cap-safe updates with valid mechanics but 0/8 continuous oracle CIs wholly positive versus u0; rare5 CI crossed zero; rare1 and molecular reader worsened descriptively; final optimization remained active.,Teacher T2 and all-149 refit remain unauthorized; expand lawful fit-donor inventory prospectively without replaying the 3292-cell cache beyond cap8 or changing the T1 scientific contract.
DEC-014,Pause T1 and run FOUNDATION_CORPUS_DISCOVERY_V1,ACTIVE,User-authorized data-discovery and production-fidelity program supersedes immediate inventory materialization/training-budget decisions.,No training; discover actual 104-fit-donor corpus structure first; preserve 104/45 firewall and all protected-data prohibitions; decide authenticated-u205 versus fresh matched arm only after final multi-agent adjudication.
DEC-015,Supersede DEC-013 mechanics interpretation and close T1 as defective historical training evidence,ACTIVE,"The u205 biological outcome stands as historical fact: T1 did not qualify biology at cap8. DEC-013 additionally recorded that T1 completed 205 updates WITH VALID MECHANICS, and that is not defensible parameter-wise. Every preserved checkpoint from u0010 to u0205 holds 123 optimizer states of which exactly 48 have both Adam moments at zero, mapping to 12 each of attention_norm, attention.query, attention.key and attention.value, while their step counters advance normally with the live tensors. C2 established the causal execution condition for the exact historical 128/8 path: backward executed inside an enabled fp16 autocast region. Disabling autocast around only the backward call, with everything else held identical, restores all 48 tensors and satisfies all ten frozen criteria, while the historical arm continues to reproduce 48/48 dead. Independently verified and closed as PASS_C2_INDEPENDENT_VERIFICATION bound to commit 712cd07d52371c4cbbfb0760a09399e9c23ec1b4 and package root f6463bdc3ca85f29708db6d444b4843087a483cc60ba75a40df35f24bb9c4222. OPTIMIZATION_INCOMPLETE and MECHANISM_DEFECT are therefore distinct diagnoses and T1 is the latter. The deeper kernel reason for collapse to exact zero remains open and is not required for this closure.","DEC-013 is preserved unmodified as the historical record and is superseded only in its mechanics interpretation, not in its biological outcome. T1 is CLOSED as defective historical training evidence: do not rehabilitate, extend, resume or retrain it, and spend no further corpus budget on it. The DEC-013 and DEC-014 next action of a fresh or larger T1 continuation, including the authenticated-u205 versus fresh-matched-arm choice, is WITHDRAWN. No real F1, pathology, DEV, SEALED, oracle, fresh T1 or production foundation training is authorized by this decision. Any successor training path must enforce the mandatory 48-tensor gradient gate after GradScaler unscale and before the optimizer step, with frozen registry enforcement."
DEC-016,Bind the independent T0 V20 execution-authority review PASS,ACTIVE,"Independent external review of the T0 V20 execution-authority successor returned PASS_T0_V20_INDEPENDENT_REVIEW, bound to ZIP a069cad258d278bf8d97e20ba1317ccc62b93265e7f93208a2ae1a4848561947, package root 896dce257b8ed7330cfe9ac9a561e6d87090903485236dbf37f389d6432cb9e7, V20 contract b8e5a38f9a158d0436d38e6846a51692f9a949580c899768c7d7507ab8646f62, implementation manifest 1f55741e83bf1b504c052975649ec3a8978428b311251c9b0bd5271cf20c6b9d, active-test manifest 99b9aeacea525ff06d6ab6d64aaed2fd74167795c2da21c02ef912f867fb0d6b, API map V3 4aa3a3d11d7f851b106b8a2f33e1b4b345eddbcdd1f2baaab9f30b0aff1bec2c, superseded registry ef54a8d0cc2f2e9c160e459bd8e239c20c10a0e052a369cc2ec3688096de909c and constants d15a1773469f67140de199ddcaf784b3c811c92ae7ed3f8bc4d6ab9f90252833. Verified independently from a clean extraction: 154 of 154 manifested members with zero mismatches, package root reproduced, 99 files compiled, 224 tests collected and 224 of 224 passed, static audit PASS on 22 checks, 18 of 18 execution-binding attacks passed. The two prior STOP findings are closed behaviourally, not by test name: permutation dtype, shape and range validation now precede the rank and HC3 path, so malformed input raises ValueError instead of being absorbed as estimable=False, while a well-formed aliased design still returns a legitimate not-estimable state; and the V3 API map was recomputed by AST at 157 public definitions mapped exactly, with all 8 superseded artifacts present only at their archived paths. The public entrypoint additionally refuses a smuggled bypass keyword by TypeError.","This binds a REVIEW OUTCOME into the ledger only. No T0 code, contract, constant, estimand, threshold, feature split, tail definition, nuisance model, HC3/FL engine, alpha level, hierarchy or claim scope was changed, and V18 science is preserved. The PASS means only T0_V18_SCIENTIFIC_SPECIFICATION_PRESERVED__V20_EXECUTION_BINDING_AND_INVALID_PRECEDENCE_ACCEPTED__REAL_T0_STILL_UNAUTHORIZED. REAL_T0_STILL_UNAUTHORIZED: both authority builders hard-set real_execution_ready False and production paths raise STOP_T0_V19_EXTERNAL_INPUT_AUTHORITY_NOT_MATERIALIZED. This grants no pathology, DEV, SEALED, reader-validation or reader-oracle access, and real T0 execution requires a separate pathology authorization that no current document provides."
DEC-017,Open the pathology-blind T0 V20 external-authority materialization lane,ACTIVE,"Owner authorized a pathology-blind T0 V20 external-authority materialization lane only: recover and verify the accepted V20 package; construct, freeze and test the feature-projection, Phase2 row/count/source-library bindings and pathology-free source authorities; produce a review package. Not authorized: AT8/pathology values, DEV/SEALED, real T0 execution, changes to V18/V20 science, or setting or bypassing real_execution_ready=True. S1 ACCEPTED PACKAGE RECOVERED is closed: the accepted V20 ZIP was recovered by SHA rather than by path (size-filtered candidates across local stores, each hashed, exactly one match), reproducing ZIP a069cad258d278bf8d97e20ba1317ccc62b93265e7f93208a2ae1a4848561947, package root 896dce257b8ed7330cfe9ac9a561e6d87090903485236dbf37f389d6432cb9e7, 154 of 154 manifested members with zero mismatches and no unmanifested content, and all nine named V20/V19/V18 authority hashes. External authorities verified: the five Stage81A2R authorities reproduce as pinned Git blob bytes at commit 95d2caf and are ABSENT at the designated consolidation base 21ec629, so they are bound by pin and are never read from a worktree; the complete Phase2 block manifest 66f589e56badb1487058f2c95940c3e4b37196e3ab5e9c6ea1ffbe7098d2ea29 is pinnable as a tracked blob at 21ec629 and covers 8,915 blocks across 42 operators with operator 31 at 1,247 blocks; the MTG matrix-semantics contract row binds matrix_slot layers/UMIs, raw_integer_counts, integer_counts_available true, normalization_already_applied false, log_transform_already_applied false and the library_size_normalize_to_10000_then_log1p_with_measurement_mask contract. Operator-31 closure was reproduced exhaustively: all 1,247 blocks scanned without early exit, 638,150 metadata rows, 20,804 of 20,804 unique target cells, zero missing, zero duplicates, 46 distinct donors. Donor roles are deliberately NOT materialized: no frozen non-value per-donor AT8 availability authority exists in the recovered package, the storage inventory, or any Git ref, so the lane preserves STOP_T0_DONOR_ROLE_AT8_AVAILABILITY_AUTHORITY_UNBOUND rather than opening pathology or creating a nullable substitute. The exact V18 split framing was recovered from the accepted package and not invented. Pathology remains closed and real T0 remains unauthorized.","Pathology-blind materialization only. No V18 or V20 science, contract, constant, estimand, threshold, feature split, tail definition, nuisance model, HC3/FL engine, alpha level, hierarchy or claim scope may change. No allow_unready, monkey patch, readiness override or real_execution_ready=True. Tracked source authorities must be hashed from pinned Git blob bytes, never Windows working-tree CRLF bytes, and a missing pinned object must STOP before hashing rather than digesting empty bytes. Terminal on success: T0_V20_PATHOLOGY_BLIND_FEATURE_SOURCE_ROW_AUTHORITIES_MATERIALIZED_AND_VERIFIED__STOP_T0_DONOR_ROLE_AT8_AVAILABILITY_AUTHORITY_UNBOUND__REAL_T0_STILL_UNAUTHORIZED."
DEC-018,Bind the two additional parallel T0 owner authorizations,ACTIVE,"Owner authorized two lanes to run concurrently with pathology-blind S2. First, an AT8 availability-only authority that may access the frozen SEA-AD donor pathology source solely to decide whether the frozen field 'percent AT8 positive area_Grey matter' is present and non-missing, may not parse, retain, emit, log, rank, summarize, compare or model numeric values, and whose frozen output may carry only donor identity, the boolean, provenance and audit metadata. Second, a promotion-only successor design lane that may build a minimal prospective successor making accepted V20 conditionally promotable after all exact external authorities and a separate future owner pathology authorization are present, changing no V18/V20 science and producing no real executable T0 authority under the present authorization. The availability authority is frozen at availability root e49c4e9365513d88d3afb687e452bc126dc3d39722384bc262557f84ee43523b, package root cda6a2e0f28cfec3a51322e50c34990721e88c6c1300f74ad2cfacf7a0bf645a, derivation code 87b12d7e149d94f4f828b56bab0975706e98763d89a388a223571abc123cdb35, over source ebbe9bc0c623c663331425794bd8fb1b4c4f3657455cf55d806cc383ea6d8e3a, deriving 84 of 84 donors available with all 46 accepted-V20 membership donors resolved and available under membership set digest f89838342622348f126217686084bf69901b1a50aca97ce94b176b779e294d64. It is NOT yet independently verified. The donor-role STOP therefore remains active and lifts only after that verification. A promotion successor cannot be a flag flip: V20's verifiers accept only real_execution_ready false while its production entrypoints proceed only on true, so the two are mutually exclusive by construction and the successor needs its own schema, verifier and entrypoint triple.","Numeric AT8 interpretation, DEV, SEALED, reader-validation, reader-oracle, real T0 execution and biological outcome analysis all remain closed. No V18/V20 science may change. real_execution_ready stays false. The availability lane must never parse a numeric AT8 value, and its authority is verified by rebuilding from the frozen source digest rather than by hashing a Git-checked-out copy."
